trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.95, 'e': 1.0}",20,0,-72.25796597708735,"{0: 16, 1: 2, 2: 0, 3: 0, 4: 2}",0
2,False,"{'a': 0.95, 'e': 0.95}",35,0,-66.95406876797524,"{0: 23, 1: 7, 2: 4, 3: 1, 4: 0}",0
3,False,"{'a': 0.95, 'e': 0.9025}",20,4,-23.036423314903622,"{0: 11, 1: 1, 2: 4, 3: 0, 4: 0}",1
4,False,"{'a': 0.95, 'e': 0.8573749999999999}",25,0,-118.7349991269368,"{0: 14, 1: 3, 2: 6, 3: 1, 4: 1}",0
5,False,"{'a': 0.95, 'e': 0.8145062499999999}",35,8,-166.27782782897518,"{0: 12, 1: 3, 2: 9, 3: 2, 4: 1}",1
6,False,"{'a': 0.95, 'e': 0.7737809374999998}",35,3,-146.4140854307575,"{0: 19, 1: 4, 2: 5, 3: 3, 4: 1}",1
7,False,"{'a': 0.95, 'e': 0.7350918906249998}",30,0,-45.98249917832429,"{0: 23, 1: 3, 2: 2, 3: 2, 4: 0}",0
8,False,"{'a': 0.95, 'e': 0.6983372960937497}",30,22,-5.491470925371723,"{0: 6, 1: 1, 2: 1, 3: 0, 4: 0}",1
9,False,"{'a': 0.95, 'e': 0.6634204312890623}",20,14,-7.446772565178128,"{0: 4, 1: 1, 2: 1, 3: 0, 4: 0}",1
10,False,"{'a': 0.95, 'e': 0.6302494097246091}",30,8,-33.76700388983598,"{0: 17, 1: 0, 2: 4, 3: 1, 4: 0}",1
11,False,"{'a': 0.95, 'e': 0.5987369392383787}",25,15,-15.868716491279265,"{0: 7, 1: 1, 2: 2, 3: 0, 4: 0}",1
12,False,"{'a': 0.95, 'e': 0.5688000922764597}",25,15,-4.021031703216771,"{0: 8, 1: 0, 2: 2, 3: 0, 4: 0}",1
13,False,"{'a': 0.95, 'e': 0.5403600876626367}",25,0,-91.89881402486164,"{0: 16, 1: 1, 2: 7, 3: 0, 4: 1}",1
14,False,"{'a': 0.95, 'e': 0.5133420832795048}",20,0,-26.904708518331628,"{0: 14, 1: 3, 2: 3, 3: 0, 4: 0}",0
15,False,"{'a': 0.95, 'e': 0.48767497911552954}",25,0,-46.274492971829474,"{0: 19, 1: 3, 2: 2, 3: 0, 4: 1}",0
16,False,"{'a': 0.95, 'e': 0.46329123015975304}",25,0,-188.67599704885248,"{0: 17, 1: 1, 2: 2, 3: 1, 4: 4}",0
17,False,"{'a': 0.95, 'e': 0.44012666865176536}",25,0,-104.73630126540438,"{0: 18, 1: 1, 2: 4, 3: 0, 4: 2}",0
18,False,"{'a': 0.95, 'e': 0.4181203352191771}",20,6,-20.493878845890027,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 1}",1
19,False,"{'a': 0.95, 'e': 0.3972143184582182}",20,0,-82.05137028874026,"{0: 13, 1: 3, 2: 2, 3: 1, 4: 1}",0
20,False,"{'a': 0.95, 'e': 0.37735360253530725}",25,0,17.42093899882189,"{0: 23, 1: 1, 2: 1, 3: 0, 4: 0}",0
21,False,"{'a': 0.95, 'e': 0.3584859224085419}",20,0,-9.804379950302982,"{0: 18, 1: 0, 2: 1, 3: 1, 4: 0}",0
22,False,"{'a': 0.95, 'e': 0.3405616262881148}",25,9,28.044541536241077,"{0: 16, 1: 0, 2: 0, 3: 0, 4: 0}",1
23,False,"{'a': 0.95, 'e': 0.323533544973709}",20,0,-18.741135295319346,"{0: 17, 1: 1, 2: 1, 3: 1, 4: 0}",0
24,False,"{'a': 0.95, 'e': 0.3073568677250236}",20,8,-46.88809757236589,"{0: 8, 1: 2, 2: 1, 3: 0, 4: 1}",1
25,False,"{'a': 0.95, 'e': 0.2919890243387724}",20,14,12.708725627359602,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
26,False,"{'a': 0.95, 'e': 0.27738957312183377}",20,0,6.9490269873379855,"{0: 18, 1: 0, 2: 2, 3: 0, 4: 0}",0
27,False,"{'a': 0.95, 'e': 0.26352009446574204}",20,0,-5.360551490226638,"{0: 17, 1: 0, 2: 3, 3: 0, 4: 0}",1
28,False,"{'a': 0.95, 'e': 0.2503440897424549}",35,19,28.247012111371355,"{0: 16, 1: 0, 2: 0, 3: 0, 4: 0}",1
29,False,"{'a': 0.95, 'e': 0.23782688525533216}",25,11,13.316777578724535,"{0: 13, 1: 0, 2: 1, 3: 0, 4: 0}",1
30,False,"{'a': 0.95, 'e': 0.22593554099256555}",20,10,7.557296011768554,"{0: 9, 1: 1, 2: 0, 3: 0, 4: 0}",1
