trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.95, 'e': 1.0}",25,0,-186.0501129169503,"{0: 13, 1: 2, 2: 7, 3: 0, 4: 3}",0
2,False,"{'a': 0.95, 'e': 0.95}",25,0,-70.56788967508805,"{0: 18, 1: 2, 2: 4, 3: 0, 4: 1}",0
3,False,"{'a': 0.95, 'e': 0.9025}",30,0,-183.4220518911112,"{0: 14, 1: 4, 2: 8, 3: 3, 4: 1}",0
4,False,"{'a': 0.95, 'e': 0.8573749999999999}",30,0,-118.66964465758825,"{0: 21, 1: 1, 2: 6, 3: 0, 4: 2}",0
5,False,"{'a': 0.95, 'e': 0.8145062499999999}",20,0,-81.51840088000934,"{0: 13, 1: 1, 2: 5, 3: 0, 4: 1}",0
6,False,"{'a': 0.95, 'e': 0.7737809374999998}",20,12,-14.004363160744052,"{0: 4, 1: 4, 2: 0, 3: 0, 4: 0}",1
7,False,"{'a': 0.95, 'e': 0.7350918906249998}",25,0,-138.65314161414653,"{0: 13, 1: 1, 2: 9, 3: 1, 4: 1}",0
8,False,"{'a': 0.95, 'e': 0.6983372960937497}",25,0,-101.24208313934446,"{0: 16, 1: 1, 2: 6, 3: 1, 4: 1}",0
9,False,"{'a': 0.95, 'e': 0.6634204312890623}",30,3,-129.73018375788828,"{0: 19, 1: 0, 2: 3, 3: 4, 4: 1}",1
10,False,"{'a': 0.95, 'e': 0.6302494097246091}",25,0,-38.33611415102653,"{0: 21, 1: 1, 2: 2, 3: 0, 4: 1}",0
11,False,"{'a': 0.95, 'e': 0.5987369392383787}",25,0,-33.47741655237643,"{0: 18, 1: 1, 2: 6, 3: 0, 4: 0}",0
12,False,"{'a': 0.95, 'e': 0.5688000922764597}",30,0,-76.03290549327424,"{0: 23, 1: 0, 2: 6, 3: 0, 4: 1}",0
13,False,"{'a': 0.95, 'e': 0.5403600876626367}",20,0,-27.499352936938127,"{0: 14, 1: 2, 2: 4, 3: 0, 4: 0}",0
14,False,"{'a': 0.95, 'e': 0.5133420832795048}",30,0,-189.48143481709346,"{0: 24, 1: 0, 2: 0, 3: 1, 4: 5}",0
15,False,"{'a': 0.95, 'e': 0.48767497911552954}",25,0,-46.940874661905504,"{0: 23, 1: 0, 2: 0, 3: 0, 4: 2}",0
16,False,"{'a': 0.95, 'e': 0.46329123015975304}",35,21,-72.87073998806773,"{0: 9, 1: 1, 2: 2, 3: 1, 4: 1}",1
17,False,"{'a': 0.95, 'e': 0.44012666865176536}",25,0,-25.23492278009157,"{0: 19, 1: 2, 2: 4, 3: 0, 4: 0}",0
18,False,"{'a': 0.95, 'e': 0.4181203352191771}",30,16,5.4757196533710495,"{0: 12, 1: 1, 2: 1, 3: 0, 4: 0}",1
19,False,"{'a': 0.95, 'e': 0.3972143184582182}",30,0,-83.51207617190175,"{0: 24, 1: 1, 2: 3, 3: 0, 4: 2}",0
20,False,"{'a': 0.95, 'e': 0.37735360253530725}",20,0,7.452782959049186,"{0: 17, 1: 2, 2: 1, 3: 0, 4: 0}",1
21,False,"{'a': 0.95, 'e': 0.3584859224085419}",30,0,11.05375748963089,"{0: 27, 1: 1, 2: 2, 3: 0, 4: 0}",0
22,False,"{'a': 0.95, 'e': 0.3405616262881148}",25,0,-60.54748890403286,"{0: 20, 1: 2, 2: 1, 3: 1, 4: 1}",0
23,False,"{'a': 0.95, 'e': 0.323533544973709}",30,0,19.48991670397941,"{0: 27, 1: 1, 2: 2, 3: 0, 4: 0}",0
24,False,"{'a': 0.95, 'e': 0.3073568677250236}",20,11,-26.857880318588293,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 1}",1
25,False,"{'a': 0.95, 'e': 0.2919890243387724}",20,5,-11.293808359960082,"{0: 13, 1: 0, 2: 1, 3: 1, 4: 0}",1
26,False,"{'a': 0.95, 'e': 0.27738957312183377}",30,9,16.488216845578833,"{0: 20, 1: 0, 2: 1, 3: 0, 4: 0}",1
