trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.3, 'e': 0.95}",20,0,-100.12402559402366,"{0: 14, 1: 1, 2: 3, 3: 0, 4: 2}",0
2,False,"{'a': 0.3, 'e': 0.8999999999999999}",30,0,-203.48389422010504,"{0: 16, 1: 3, 2: 5, 3: 4, 4: 2}",0
3,False,"{'a': 0.3, 'e': 0.8499999999999999}",30,0,-97.35965774114074,"{0: 21, 1: 5, 2: 2, 3: 0, 4: 2}",0
4,False,"{'a': 0.3, 'e': 0.7999999999999998}",35,0,-210.30002659862467,"{0: 21, 1: 2, 2: 6, 3: 4, 4: 2}",0
5,False,"{'a': 0.3, 'e': 0.7499999999999998}",30,0,-147.55717687865345,"{0: 14, 1: 4, 2: 10, 3: 2, 4: 0}",0
6,False,"{'a': 0.3, 'e': 0.6999999999999997}",30,0,-264.90165689865717,"{0: 17, 1: 4, 2: 3, 3: 0, 4: 6}",0
7,False,"{'a': 0.3, 'e': 0.6499999999999997}",25,0,-145.6894408437106,"{0: 16, 1: 4, 2: 2, 3: 0, 4: 3}",0
8,False,"{'a': 0.3, 'e': 0.5999999999999996}",25,0,-63.53101255871326,"{0: 18, 1: 2, 2: 4, 3: 0, 4: 1}",0
9,False,"{'a': 0.3, 'e': 0.5499999999999996}",30,0,-135.40884071626124,"{0: 13, 1: 5, 2: 12, 3: 0, 4: 0}",0
10,False,"{'a': 0.3, 'e': 0.4999999999999996}",30,0,-207.21902839310076,"{0: 15, 1: 5, 2: 6, 3: 1, 4: 3}",0
11,False,"{'a': 0.3, 'e': 0.4499999999999996}",25,0,-30.09159223378491,"{0: 19, 1: 1, 2: 5, 3: 0, 4: 0}",0
12,False,"{'a': 0.3, 'e': 0.39999999999999963}",20,0,-138.85580752253267,"{0: 13, 1: 0, 2: 3, 3: 2, 4: 2}",0
13,False,"{'a': 0.3, 'e': 0.34999999999999964}",20,0,-200.4674084797496,"{0: 11, 1: 3, 2: 1, 3: 1, 4: 4}",0
14,False,"{'a': 0.3, 'e': 0.29999999999999966}",20,0,-138.4353302214957,"{0: 10, 1: 2, 2: 4, 3: 3, 4: 1}",0
15,False,"{'a': 0.3, 'e': 0.24999999999999967}",25,0,-153.43957758505016,"{0: 13, 1: 1, 2: 8, 3: 2, 4: 1}",0
16,False,"{'a': 0.3, 'e': 0.19999999999999968}",20,0,-11.679976586742377,"{0: 16, 1: 2, 2: 2, 3: 0, 4: 0}",0
17,False,"{'a': 0.3, 'e': 0.1499999999999997}",20,0,-117.20791648150588,"{0: 10, 1: 4, 2: 3, 3: 2, 4: 1}",0
18,False,"{'a': 0.3, 'e': 0.09999999999999969}",20,0,-98.57995123034519,"{0: 11, 1: 2, 2: 6, 3: 0, 4: 1}",0
19,False,"{'a': 0.3, 'e': 0.049999999999999684}",25,0,-199.20611238976028,"{0: 12, 1: 2, 2: 6, 3: 3, 4: 2}",0
20,False,"{'a': 0.3, 'e': -3.191891195797325e-16}",25,0,-76.46824420762128,"{0: 16, 1: 2, 2: 6, 3: 1, 4: 0}",0
1,True,"{'a': 0.3, 'e': -0.05000000000000032}",35,0,-170.79331265983726,"{0: 19, 1: 5, 2: 8, 3: 2, 4: 1}",0
2,True,"{'a': 0.3, 'e': -0.10000000000000032}",20,0,-137.87567284466888,"{0: 13, 1: 0, 2: 3, 3: 2, 4: 2}",0
3,True,"{'a': 0.3, 'e': -0.15000000000000033}",25,0,-81.85423552913464,"{0: 13, 1: 7, 2: 4, 3: 1, 4: 0}",0
4,True,"{'a': 0.3, 'e': -0.20000000000000034}",25,0,-123.93786292413071,"{0: 12, 1: 4, 2: 8, 3: 0, 4: 1}",0
5,True,"{'a': 0.3, 'e': -0.25000000000000033}",20,0,-105.10978630394006,"{0: 9, 1: 4, 2: 6, 3: 0, 4: 1}",0
6,True,"{'a': 0.3, 'e': -0.3000000000000003}",25,0,-178.8274602686088,"{0: 15, 1: 2, 2: 4, 3: 1, 4: 3}",0
7,True,"{'a': 0.3, 'e': -0.3500000000000003}",20,0,-79.95031286117525,"{0: 12, 1: 0, 2: 7, 3: 1, 4: 0}",0
8,True,"{'a': 0.3, 'e': -0.4000000000000003}",20,0,-53.99383783280672,"{0: 13, 1: 3, 2: 3, 3: 1, 4: 0}",0
9,True,"{'a': 0.3, 'e': -0.4500000000000003}",30,0,-84.02110392453302,"{0: 17, 1: 8, 2: 4, 3: 1, 4: 0}",0
10,True,"{'a': 0.3, 'e': -0.5000000000000003}",20,0,-26.055662877929947,"{0: 14, 1: 3, 2: 3, 3: 0, 4: 0}",0
